Feature,Importance
avg_payment_delay_days,0.3257272
income_tier,0.19731899
employment_type_encoded,0.095832564
spending_volatility_cv,0.069500126
insurance_ownership_flag,0.033885602
bill_payment_consistency,0.030605117
education_level,0.029127277
existing_loan_flag,0.028513152
utility_auto_payment_flag,0.025632111
social_media_linked_flag,0.02205112
kyc_completion_score,0.019412423
bounce_rate_txn,0.014883235
dependents_count,0.012253538
loan_inquiry_count_6m,0.01076318
device_stability_score,0.010191643
savings_ratio,0.010003471
account_age_months,0.009347463
recharge_regularity,0.008305887
app_usage_regularity_days,0.008131566
ecommerce_txn_frequency,0.008022837
wallet_min_balance,0.0070121195
employment_tenure_months,0.0062994747
upi_txn_frequency,0.0059718713
residence_stability_years,0.005780417
merchant_diversity_score,0.0054276423
